# z1_ini,z2_ini,a11,a12,a21,a22,t,z1,z2,sol_z1,sol_z2
4.0,17.0,0.0,9.0,-9.0,0.0,0.0,4.0,17.0,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.020202020202020204,7.007973648902089,15.996509160948019,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.04040404040404041,9.784916249958574,14.465663274848362,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.06060606060606061,12.239280661146491,12.45792955902727,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.08080808080808081,14.29015413790944,10.03949673613124,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.10101010101010102,15.869925774146246,7.290092998246914,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.12121212121212122,16.926515423046755,4.300357616915168,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.14141414141414144,17.425090617202002,1.1688528488645615,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.16161616161616163,17.34921488648433,-2.001185354381361,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.18181818181818182,16.70138961723622,-5.105250714046686,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.20202020202020204,15.50297158935919,-8.041011870375641,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.22222222222222224,13.793468909848016,-10.711685928604147,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.24242424242424243,11.629238553647145,-13.029229089334752,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.26262626262626265,9.081628449847392,-14.917239178176452,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.2828282828282829,6.234625362850357,-16.313474387294175,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.30303030303030304,3.1820861105268916,-17.171905193809796,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
4.0,17.0,0.0,9.0,-9.0,0.0,0.32323232323232326,0.02464339747691824,-17.464231809700674,{'z1_solu': 'z1=17*sin(9*t) + 4*cos(9*t)', 'z2_solu': 'z2=-4*sin(9*t) + 17*cos(9*t)'}
